id,ovr,name,team,pos,bye_week
463,268,Jaleel McLaughlin,DEN,RB,12
464,269,Jalen Tolbert,DAL,WR,10
465,270,Harold Fannin Jr.,CLE,TE,9
466,271,Noah Gray,KC,TE,10
467,272,Devin Singletary,NYG,RB,14
468,273,Nick Westbrook-Ikhine,MIA,WR,12
469,274,Brandin Cooks,NO,WR,11
470,275,Trevor Etienne,CAR,RB,14
471,276,Kenneth Gainwell,PIT,RB,5
472,277,Malik Washington,MIA,WR,12
473,278,Kayshon Boutte,NE,WR,14
474,279,Ty Johnson,BUF,RB,7
475,280,Elijah Moore,BUF,WR,7
476,281,Chicago Bears,CHI,DST,5
477,282,Isaiah Davis,NYJ,RB,9
478,283,Darren Waller,MIA,TE,12
479,284,Antonio Gibson,NE,RB,14
480,285,Tre Tucker,LV,WR,8
481,286,Amari Cooper,LV,WR,8
482,287,Jalen Nailor,MIN,WR,6
483,288,Jaxson Dart,NYG,QB,14
484,289,Tyler Shough,NO,QB,11
485,290,Spencer Rattler,NO,QB,11
486,291,Cleveland Browns,CLE,DST,9
487,292,Will Reichard,MIN,K,6
488,293,Daniel Carlson,LV,K,8
489,294,Diontae Johnson,FA,WR,-
490,295,Tyler Loop,BAL,K,7
491,296,Jordan James,SF,RB,14
492,297,Emanuel Wilson,GB,RB,5
493,298,Tim Patrick,JAC,WR,8
494,299,Taysom Hill,NO,TE,11
495,300,New England Patriots,NE,DST,14
496,301,Christian Watson,GB,WR,5
497,302,Audric Estime,FA,RB,-
498,303,Terrance Ferguson,LAR,TE,8
499,304,Arizona Cardinals,ARI,DST,8
500,305,Troy Franklin,DEN,WR,12
501,306,Parker Washington,JAC,WR,8
502,307,Chris Brooks,GB,RB,5
503,308,Luke McCaffrey,WAS,WR,12
504,309,Xavier Restrepo,TEN,WR,10
505,310,Noah Fant,CIN,TE,10
506,311,Khalil Herbert,FA,RB,-
507,312,Tyler Higbee,LAR,TE,8
508,313,Ray-Ray McCloud III,ATL,WR,5
509,314,Jermaine Burton,CIN,WR,10
510,315,Kimani Vidal,LAC,RB,12
511,316,Tutu Atwell,LAR,WR,8
512,317,Sincere McCormick,FA,RB,-
513,318,Oronde Gadsden II,LAC,TE,12
514,319,Shedeur Sanders,CLE,QB,9
515,320,Ty Chandler,MIN,RB,6
516,321,Phil Mafah,DAL,RB,10
517,322,Samaje Perine,CIN,RB,10
518,323,Zamir White,LV,RB,8
519,324,Tez Johnson,TB,WR,9
520,325,Jason Myers,SEA,K,8
521,326,Damien Martinez,SEA,RB,8
522,327,Ben Sinnott,WAS,TE,12
523,328,Josh Reynolds,NYJ,WR,9
524,329,KaVontae Turpin,DAL,WR,10
525,330,Jordan Whittington,LAR,WR,8
526,331,A.J. Dillon,PHI,RB,9
527,332,Raheim Sanders,CLE,RB,9
528,333,Will Dissly,LAC,TE,12
529,334,Tyler Conklin,LAC,TE,12
530,335,Cam Little,JAC,K,8
531,336,Noah Brown,WAS,WR,12
532,337,Brandon McManus,GB,K,5
533,338,Gabe Davis,FA,WR,-
534,339,KeAndre Lambert-Smith,LAC,WR,12
535,340,New York Giants,NYG,DST,14
536,341,Jalen Milroe,SEA,QB,8
537,342,Miami Dolphins,MIA,DST,12
538,343,Demarcus Robinson,SF,WR,14
539,344,Zack Moss,FA,RB,-
540,345,Jaylin Lane,WAS,WR,12
541,346,Dawson Knox,BUF,TE,7
542,347,Michael Mayer,LV,TE,8
543,348,Isaiah Bond,CLE,WR,9
544,349,AJ Barner,SEA,TE,8
545,350,Jake Moody,SF,K,14
546,351,John Metchie III,PHI,WR,9
547,352,Tai Felton,MIN,WR,6
548,353,Marquez Valdes-Scantling,SF,WR,14
549,354,Olamide Zaccheaus,CHI,WR,5
550,355,Kirk Cousins,ATL,QB,5
551,356,Kalel Mullings,TEN,RB,10
552,357,Luke Musgrave,GB,TE,5
553,358,Washington Commanders,WAS,DST,12
554,359,Allen Lazard,NYJ,WR,9
555,360,Justin Tucker,FA,K,-
556,361,Cam Akers,FA,RB,-
557,362,Gus Edwards,FA,RB,-
558,363,LeQuint Allen Jr.,JAC,RB,8
559,364,Savion Williams,GB,WR,5
560,365,Dillon Gabriel,CLE,QB,9
561,366,Curtis Samuel,BUF,WR,7
562,367,Jimmy Garoppolo,LAR,QB,8
563,368,Chimere Dike,TEN,WR,10
564,369,Jameis Winston,NYG,QB,14
565,370,Mack Hollins,NE,WR,14
566,371,Emari Demercado,ARI,RB,8
567,372,Austin Hooper,NE,TE,14
568,373,Zay Jones,ARI,WR,8
569,374,Gunnar Helm,TEN,TE,10
570,375,Cairo Santos,CHI,K,5
571,376,Indianapolis Colts,IND,DST,11
572,377,Van Jefferson,TEN,WR,10
573,378,Jahan Dotson,PHI,WR,9
574,379,Tank Dell,HOU,WR,6
575,380,Donovan Edwards,WAS,RB,12
576,381,Foster Moreau,NO,TE,11
577,382,Atlanta Falcons,ATL,DST,5
578,383,Matt Prater,FA,K,-
579,384,Trey Sermon,PIT,RB,5
580,385,Jamari Thrash,CLE,WR,9
581,386,Efton Chism III,NE,WR,14
582,387,Blake Grupe,NO,K,11
583,388,Chad Ryland,ARI,K,8
584,389,Greg Dortch,ARI,WR,8
585,390,Jonathon Brooks,CAR,RB,14
586,391,Cade Stover,HOU,TE,6
587,392,Jacob Cowing,SF,WR,14
588,393,Cincinnati Bengals,CIN,DST,10
589,394,Graham Gano,NYG,K,14
590,395,Kyle Juszczyk,SF,RB,14
591,396,Antwane Wells Jr.,FA,WR,-
592,397,Tommy Tremble,CAR,TE,14
593,398,New Orleans Saints,NO,DST,11
594,399,Eddy Pineiro,FA,K,-
595,400,JuJu Smith-Schuster,KC,WR,10
596,401,Kenny Pickett,LV,QB,8
597,402,Tyrod Taylor,NYJ,QB,9
598,403,Josh Oliver,MIN,TE,6
599,404,Theo Wease Jr.,MIA,WR,12
600,405,Luke Schoonmaker,DAL,TE,10
601,406,Craig Reynolds,DET,RB,8
602,407,Jeremy McNichols,WAS,RB,12
603,408,Nick Folk,NYJ,K,9
604,409,Clyde Edwards-Helaire,FA,RB,-
605,410,Hunter Renfrow,FA,WR,-
606,411,Tyler Goodson,IND,RB,11
607,412,Julius Chestnut,TEN,RB,10
608,413,Arian Smith,NYJ,WR,9
609,414,Joe Milton III,DAL,QB,10
610,415,George Holani,SEA,RB,8
611,416,Robert Woods,PIT,WR,5
612,417,Jalin Hyatt,NYG,WR,14
613,418,Dare Ogunbowale,HOU,RB,6
614,419,Jordan Watkins,SF,WR,14
615,420,Mason Rudolph,PIT,QB,5
616,421,Tyquan Thornton,KC,WR,10
617,422,Devontez Walker,BAL,WR,7
618,423,Ja'Quinden Jackson,JAC,RB,8
619,424,Grant Calcaterra,PHI,TE,9
620,425,Skyy Moore,SF,WR,14
621,426,Tyler Badie,DEN,RB,12
622,427,Jeremy Ruckert,NYJ,TE,9
623,428,Xavier Hutchinson,HOU,WR,6
624,429,D'Ernest Johnson,FA,RB,-
625,430,Stone Smartt,NYJ,TE,9
626,431,Mitchell Evans,CAR,TE,14
627,432,Hassan Haskins,LAC,RB,12
628,433,Jonathan Mingo,DAL,WR,10
629,434,Las Vegas Raiders,LV,DST,8
630,435,Darnell Washington,PIT,TE,5
631,436,Malik Willis,GB,QB,5
632,437,Jacksonville Jaguars,JAC,DST,8
633,438,Jimmy Horn Jr.,CAR,WR,14
634,439,Spencer Shrader,IND,K,11
635,440,Sterling Shepard,TB,WR,9
636,441,Kendrick Bourne,FA,WR,-
637,442,Elijah Higgins,ARI,TE,8
638,443,Greg Dulcich,MIA,TE,12
639,444,Mitchell Tinsley,CIN,WR,10
640,445,Alec Ingold,MIA,RB,12
641,446,Javon Baker,NE,WR,14
642,447,Tyler Johnson,FA,WR,-
643,448,Kalif Raymond,DET,WR,8
644,449,Aidan O'Connell,LV,QB,8
645,450,Deshaun Watson,CLE,QB,9
646,451,Casey Washington,ATL,WR,5
647,452,Chris Tyree,NO,RB,11
648,453,Carson Steele,KC,RB,10
